PEAR-21-1;HJ: ¿Qué fue eso?
PEAR-21-2;-Unos extraterrestres secuestraron a mi gato
PEAR-21-3;JH: ¿QUEEEE? ¿Y qué vas a hacer?
PEAR-21-4;-Ni idea la verdad.
PEAR-21-5;HJ: Mira, cuando despegaron se les cayó este mapa [Le entrega el mapa] ¿Y si le dices al científico loco que te construya una nave? Él vive en la plaza central. Seguro te ayuda.
PEAR-21-6;-Eso haré.
PEAR-22-1;-Hola, disculpe, un extraterrestre acaba de secuestrar a mi gato :C. Mi amigo dice que usted me pude ayudar a construir una nave…
PEAR-22-2;Científico Loco: Si, claro, solo necesito que deposites $10M y lo construiré enseguida
PEAR-22-3;- :C
PEAR-22-4;Científico Loco: O…Puedes ver qué encuentras en el basurero y con gusto te ayudo.
PEAR-22-5;-Vale, enseguida. C:
PEAR-23-1;Científico Loco: ¿Ya tienes todo?
PEAR-23-2;-Completo.
PEAR-23-3;Científico Loco: Listo, mañana mismo está lista tu nave.
PEAR-NPC-1;-A veces quisiera ser una mariposa y volar hasta el final del Universo.
PEAR-NPC-2;-Espero que recuperes a tu gato, después de todo un gato es un familiar mas.
PMAT-31-1;Mago: ¿Qué pasó? ¿Estás bien?
PMAT-31-2;-Ayuda por favor, unos extraterrestres secuestraron a mi gato y encontré este planeta en su mapa. ¿Sabes algo?
PMAT-31-3;Mago: Ah sí. Unos comerciantes aterrizaron ayer. Podrías hablar con nuestro príncipe: Gauss. Seguro él te puede ayudar.
PMAT-32-1;-Saludos su majestad Gauss.
PMAT-32-2;Príncipe Gauss: Saludos, forastero.
PMAT-32-3;-He venido a solicitar su ayuda. Unos comerciantes secuestraron a mi gato y me informan que han estado por aquí.
PMAT-32-4;Príncipe Gauss: Claro. Ellos estuvieron aquí. Me ofrecieron a su gato, pero soy alérgico y los rechacé. Vi que fueron en dirección al planeta de la física.
PMAT-32-5;-Muchas gracias su brillantez. Una última petición: ¿tendrá usted algunas herramientas para reparar mi nave y seguir la búsqueda?
PMAT-32-6;Príncipe Gauss: Si claro, pero para saber si eres digno de mis herramientas primero debes solucionar estos acertijos…
PMAT-33-1;Príncipe Gauss: Veo que si eres digno humano. Toma mis herramientas y ten un buen viaje.
PMAT-NPC-1;-Una vez me mire al espejo y me desmaye, no de miedo, sino de ver tanta belleza.
PMAT-NPC-2;-El Príncipe Gauss podrá ser un príncipe pero siempre será mi rey
PFIS-41-1;Hombre Cilindro: Ayuda por favor, viene una lluvia de meteoritos. Debes salvarnos. :0
PFIS-42-1;-Disculpen, me informaron que unos comerciantes pasaron por aquí vendiendo un gato. Ese es mi gato, ellos lo secuestraron.
PFIS-42-2;Hombre Cilindro: Si claro, pero apenas vieron la lluvia de meteoritos se fueron hacia el planeta de la estadística. Perdón por no poder ayudar más. Ten un poco de gasolina y buen viaje.
PFIS-NPC-1;-Nos has salvado, estamos agradecidos.
PFIS-NPC-2;-Algún día me caerá una manzana en la cabeza y seré Newton.
PEST-51-1;-Hola, mi nave está fallando, ¿podrías ayudarme? Debo seguir con la búsqueda de mi gato. Unos comerciantes lo secuestraron.
PEST-51-2;Mecanico: Claro que puedo ayudar, pero necesito que tu me ayudes primero. Mi sueño siempre ha sido estar a la moda, pero no tengo idea como. Si me ayudas a descubrirlo, repararé tu nave.
PEST-51-02;-Claro, eso haré.
PEST-52-1;-Hola, he descubierto cual es la moda: son los __________.
PEST-52-2;Muchas gracias, tu nave ya está reparada. Mucha suerte en tu búsqueda.
PEST-NPC-1;-Estadísticamente somos ciudadanos del planeta estadística.
PEST-NPC-2;-Tu gato es muy cool, cuando lo vi estaba a la moda.
PGEO-61-1;Hombre Cubo: Acabas de destruir nuestro planeta
PGEO-61-2;Hombre Cubo: La única forma que salgas de aquí es que reconstruyas todo… O a la cárcel.
PGEO-61-3;-No se preocupen, lo reconstruiré.
PGEO-62-1;Hombre Cubo: Maravilloso. Ahora fuera de nuestro planeta. Toma tu nave y por favor no regreses nunca.
PGEO-NPC-1;-Una vez llego un fulano llamado Steve, confundió el planeta con un lugar extraño llamado Minecraft.
PGEO-NPC-2;-La geometría es el estudio de las formas de la belleza del Universo.
